ID	hgnc_id	symbol	prev_symbol
18197	HGNC:18197	EML5	
35412	HGNC:35412	EML6	
41299	HGNC:41299	EML6-AS1	
3333	HGNC:3333	EMP1	
3334	HGNC:3334	EMP2	
54651	HGNC:54651	EMP2P1	
3335	HGNC:3335	EMP3	
54408	HGNC:54408	EMSLR	
18071	HGNC:18071	EMSY	C11orf30
55507	HGNC:55507	EMSY-DT	
3340	HGNC:3340	EMX1	
3341	HGNC:3341	EMX2	
18511	HGNC:18511	EMX2OS	
3342	HGNC:3342	EN1	
3343	HGNC:3343	EN2	
55659	HGNC:55659	EN2-DT	
18271	HGNC:18271	ENAH	
56618	HGNC:56618	ENAHP1	
3344	HGNC:3344	ENAM	AIH2
3345	HGNC:3345	ENC1	NRPB
29129	HGNC:29129	ENDOD1	
3346	HGNC:3346	ENDOG	
14369	HGNC:14369	ENDOU	
26640	HGNC:26640	ENDOV	
56747	HGNC:56747	ENEMAL	
3349	HGNC:3349	ENG	ORW1|ORW
24622	HGNC:24622	ENGASE	
24838	HGNC:24838	ENHO	C9orf165
25246	HGNC:25246	ENKD1	C16orf48
28388	HGNC:28388	ENKUR	C10orf63
3350	HGNC:3350	ENO1	ENO1L1|MPB1|ENO1-IT1
40214	HGNC:40214	ENO1-AS1	
